layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.0.ln_1.weight,384,-4.456691265106201,10.212811967574623,-0.087497935,0.06789678,0.77598155,False,1000,1000_ckpt.pt
transformer.h.0.ln_2.weight,384,-1.1875020265579224,0.21098027142590328,-0.19820264,0.08052963,0.40629947,False,1000,1000_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-0.27800077199935913,-0.9995179539079396,-38.320213,26.518538,0.69202477,False,1000,1000_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.05205254629254341,-1.0000220788602063,-117.70001,86.12555,0.7317378,False,1000,1000_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,-0.024698257446289062,-0.9995506025144648,-10.941397,5.6124816,0.5129584,False,1000,1000_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,4.021583777102933e-07,-1.0000000025037024,-5.4795775,4.0803165,0.7446407,False,1000,1000_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.19985534250736237,1.2833495592057078,-0.026984654,0.011166742,0.41381824,False,1000,1000_ckpt.pt
transformer.h.1.ln_2.weight,384,-0.9963961243629456,1.259165973629977,-0.11194976,0.02131096,0.19036183,False,1000,1000_ckpt.pt
transformer.h.1.mlp.c_fc.weight,589824,-0.028405427932739258,-0.9999221001982537,-16.359343,9.621795,0.5881529,False,1000,1000_ckpt.pt
transformer.h.1.mlp.c_proj.weight,589824,0.0001735793484840542,-1.0000004962434603,-14.066891,8.695466,0.61815125,False,1000,1000_ckpt.pt
transformer.h.2.attn.c_attn.weight,442368,-0.08869166672229767,-0.9989337240029341,-7.241068,3.735988,0.5159443,False,1000,1000_ckpt.pt
transformer.h.2.attn.c_proj.weight,147456,2.1129624201421393e-06,-1.000000015547515,-4.5201616,2.8978508,0.6410945,False,1000,1000_ckpt.pt
transformer.h.2.ln_1.weight,384,-0.2749447226524353,1.5040300712273027,-0.016727222,0.012411622,0.7420014,False,1000,1000_ckpt.pt
transformer.h.2.ln_2.weight,384,-0.9313699007034302,0.4489123466639388,-0.13266534,0.031895403,0.24042001,False,1000,1000_ckpt.pt
transformer.h.2.mlp.c_fc.weight,589824,-1.1431645154953003,-0.9979396858080156,-14.518359,15.023212,1.0347735,False,1000,1000_ckpt.pt
transformer.h.2.mlp.c_proj.weight,589824,2.1942436433164403e-05,-1.0000000947533134,-5.787071,5.08674,0.8789835,False,1000,1000_ckpt.pt
transformer.h.3.attn.c_attn.weight,442368,-0.11763906478881836,-0.9987395412610114,-7.046974,4.009237,0.56893027,False,1000,1000_ckpt.pt
transformer.h.3.attn.c_proj.weight,147456,1.476548732171068e-06,-1.0000000144454964,-2.5098093,2.2751827,0.9065162,False,1000,1000_ckpt.pt
transformer.h.3.ln_1.weight,384,-0.763109564781189,3.40956579319561,-0.022634549,0.008350123,0.3689105,False,1000,1000_ckpt.pt
transformer.h.3.ln_2.weight,384,-0.5966380834579468,0.5080992993702995,-0.10859484,0.044871222,0.41319847,False,1000,1000_ckpt.pt
transformer.h.3.mlp.c_fc.weight,589824,-3.0105671882629395,-0.9917605611145421,-17.584707,16.932901,0.96293336,False,1000,1000_ckpt.pt
transformer.h.3.mlp.c_proj.weight,589824,3.4185490221716464e-05,-1.0000001805443768,-4.962845,4.4880166,0.9043234,False,1000,1000_ckpt.pt
transformer.h.4.attn.c_attn.weight,442368,0.026859574019908905,-1.0003452245442515,-8.138282,4.9969034,0.6139998,False,1000,1000_ckpt.pt
transformer.h.4.attn.c_proj.weight,147456,3.886455488100182e-06,-1.0000000384714545,-2.767351,2.3546138,0.8508548,False,1000,1000_ckpt.pt
transformer.h.4.ln_1.weight,384,-0.10558560490608215,-0.052210754191707405,-0.026254196,0.016902637,0.64380705,False,1000,1000_ckpt.pt
transformer.h.4.ln_2.weight,384,0.27860739827156067,-1.3926900677310854,-0.09623789,0.06907685,0.7177719,False,1000,1000_ckpt.pt
transformer.h.4.mlp.c_fc.weight,589824,-2.383831739425659,-0.9976410643770092,-28.918215,22.978388,0.7945991,False,1000,1000_ckpt.pt
transformer.h.4.mlp.c_proj.weight,589824,2.313494769623503e-05,-1.0000001168740726,-3.905289,4.5265055,1.1590706,False,1000,1000_ckpt.pt
